Number,Gender,GivenName,Surname,TelephoneNumber,Birthday,Zodiac,Membership,BloodType,Pounds,Weight,Height,BMI
45,male,Matthew,Stump,085 645 7519,06-06-1976,Gemini,01-07-2017,O+,245.1,111.4,187,31.8568
46,male,Medhane,Yonatan,085 295 1725,11-19-1958,Scorpio,01-03-2017,O+,163.7,74.4,170,25.7439
47,female,Sarah,Campbell,084 333 9616,6-17-1986,Gemini,01-02-2016,A+,143.7,65.3,170,22.5952
48,male,Chidalu,Nebechi,084 162 3902,05-03-1982,Taurus,01-02-2020,O+,138.6,63,179,19.6623
49,female,Alina,Ermakova,085 723 4493,8-29-1958,Virgo,01-12-2016,B+,177.1,80.5,157,32.6585
50,male,Shaun,Moore,085 774 3644,10-02-1987,Libra,01-10-2019,B-,217.1,98.7,178,31.1514
51,female,Deborah,McFadden,083 906 7622,6-14-1960,Gemini,01-02-2016,O+,137.7,62.6,173,20.9162
52,female,Oliwia,McDonald,084 688 1195,2-16-1991,Aquarius,01-08-2018,O+,191.4,87,155,36.2123
53,male,Rostislav,Vasiliev,085 999 1927,9-13-1982,Virgo,01-08-2017,AB+,141.2,64.2,189,17.9726
54,female,Margaret,Wallace,082 429 1060,11-14-1988,Scorpio,01-01-2017,A+,178.4,81.1,160,31.6797
55,male,Chi,Cheng,085 463 9701,2-14-1969,Aquarius,01-12-2017,O+,234.5,106.6,187,30.4841
56,male,Ephraim,Konovalov,084 803 7588,7-30-1987,Leo,01-04-2020,A+,134.4,61.1,169,21.3928
57,female,Eden,Selam,082 499 1713,7-16-1984,Cancer,01-02-2017,AB+,218,99.1,156,40.7216
58,female,Proserpina,Milano,084 946 4176,10-29-1964,Scorpio,01-04-2019,O+,141.7,64.4,166,23.3706
59,male,Teruhiko,Nozaki,084 934 4448,3-30-1970,Aries,01-08-2016,O-,151.6,68.9,179,21.5037
60,male,Kiros,Selassie,085 439 5961,06-06-1975,Gemini,01-01-2016,A+,176.9,80.4,183,24.0079
61,male,Jack,Griffiths,085 283 5047,8-24-1970,Virgo,01-12-2016,O+,190.1,86.4,171,29.5476
62,female,Maurizia,Pinto,084 690 5169,3-15-1973,Pisces,01-07-2020,O+,137.7,62.6,154,26.3957
63,female,Dai,Hsia,084 677 7919,1-26-1974,Aquarius,01-05-2019,AB+,156,70.9,157,28.7638
64,male,Adrian,Johnston,083 940 1967,11-10-1965,Scorpio,01-05-2017,A+,168.1,76.4,171,26.1277
65,male,Ahmad,Cameron,085 310 1018,03-09-1973,Pisces,01-11-2016,A+,180.4,82,178,25.8806
66,male,Charles,Neal,085 866 9620,11-02-1973,Scorpio,01-04-2019,O+,162.8,74,178,23.3556
67,female,Suzumi,Hakui,082 702 3628,06-01-1992,Gemini,01-08-2016,A+,117.7,53.5,157,21.7047
68,male,Katsuki,Tamura,085 817 0724,1-17-1953,Capricorn,01-05-2019,A+,213.6,97.1,171,33.2068
69,female,Wakana,Akimoto,085 809 1406,9-20-1974,Virgo,01-07-2016,O+,227.7,103.5,162,39.4376
70,male,Madukaife,Onyekachukwu,084 851 0890,2-24-1973,Pisces,01-01-2018,O+,204.6,93,178,29.3524
71,male,Carlos,Warwick,084 831 6348,07-07-1961,Cancer,01-02-2018,A+,215.6,98,169,34.3125
72,female,Libby,Goodwin,082 542 0501,07-01-1988,Cancer,01-02-2017,B+,224.4,102,172,34.4781
73,male,Leighton,Crawford,083 702 6952,02-08-1975,Aquarius,01-09-2016,O+,222,100.9,178,31.8457
74,male,Jie,T'an,082 584 4415,11-02-1960,Scorpio,01-09-2020,A+,236.3,107.4,180,33.1481
75,male,Polycarp,Yermakov,082 405 5502,6-19-1957,Gemini,01-04-2019,B+,162.6,73.9,178,23.3241
76,male,Joshua,Sladen,084 683 0909,9-25-1974,Libra,01-12-2016,A+,251.7,114.4,173,38.2238
77,female,Talia,Williamson,085 363 3733,2-27-1957,Pisces,01-06-2017,O-,153.1,69.6,157,28.2364
78,male,Norbert,Franklin,082 383 9854,10-23-1965,Scorpio,01-04-2018,B+,245.5,111.6,170,38.6159
79,female,Sarama,Nasih,083 770 3123,06-08-1958,Gemini,01-07-2019,A+,112.9,51.3,169,17.9616
80,female,Patricia,Miles,082 750 7912,05-01-1974,Taurus,01-08-2019,A+,155.8,70.8,173,23.656
83,female,Ukamaka,Chidubem,083 201 2341,1-28-1988,Aquarius,01-02-2018,A+,202.8,92.2,162,35.1318
84,male,Tewolde,Gabriel,085 887 0216,12-06-1988,Sagittarius,01-04-2017,A+,148.3,67.4,177,21.5136
85,male,Samuel,Simon,084 966 0522,12-25-1987,Capricorn,01-01-2019,O+,182.6,83,183,24.7843
86,female,Li Qin,Tan,083 827 0897,06-02-1965,Gemini,01-06-2016,A+,231.7,105.3,163,39.6327
87,female,Munachimso,Onuora,082 697 3914,12-16-1955,Sagittarius,01-03-2020,O+,174,79.1,153,33.7904
88,male,Nwachukwu,Nnaemeka,082 988 7329,11-05-1968,Scorpio,01-08-2018,O+,167.6,76.2,178,24.05
89,male,Norman,Hernandez,084 185 6264,6-22-1986,Cancer,01-03-2017,A+,142.3,64.7,184,19.1103
90,male,Isaiah,Kryukov,085 377 1011,03-07-1990,Pisces,01-11-2017,O+,151.1,68.7,172,23.222
91,male,Otitodilichukwu,Obinna,082 649 7341,09-11-1960,Virgo,01-05-2020,O+,207.9,94.5,167,33.8843
92,male,Mayoku,Kurita,084 828 3874,12-25-1953,Capricorn,01-05-2019,O+,209.7,95.3,175,31.1184
93,female,Lara,Chamberlain,084 230 0589,3-21-1993,Aries,01-07-2020,AB+,156,70.9,171,24.2468
94,male,Okorie,Anenechukwu,083 822 5786,11-15-1982,Scorpio,01-08-2018,O+,220.9,100.4,180,30.9877
97,male,Scott,Rodriguez,082 487 5750,03-02-1952,Pisces,01-09-2018,O+,182.8,83.1,177,26.5249
98,female,Caitlin,Bryan,082 267 1943,02-08-1984,Aquarius,01-11-2016,O+,160.6,73,175,23.8367
99,male,Peter,Alexeieva,082 559 1442,1-24-1981,Aquarius,01-05-2018,AB+,207,94.1,174,31.0807
100,female,Rita,Boldt,082 619 9920,7-27-1977,Leo,01-06-2018,B+,224.4,102,156,41.9132
101,male,Gboliwe,Iroawuchi,083 176 3806,5-27-1965,Gemini,01-05-2018,AB+,178.2,81,184,23.9249
102,male,Isaac,Waugh,082 656 6816,3-31-1972,Aries,01-05-2018,O+,163.7,74.4,189,20.8281
103,male,Tomasz,Bruce,083 993 5224,09-08-1956,Virgo,01-01-2020,O+,194.3,88.3,167,31.6612
104,male,Michael,Walton,082 725 9512,6-19-1973,Gemini,01-03-2020,B+,156.4,71.1,174,23.4839
105,male,Andrew,Hutchinson,085 314 4449,8-15-1949,Leo,01-09-2019,AB+,200.9,91.3,168,32.3484
106,male,Danny,Roberson,082 590 3794,4-18-1962,Aries,01-11-2016,O-,227,103.2,172,34.8837
107,male,Christopher,Davison,082 370 3426,11-22-1988,Sagittarius,01-09-2020,O+,225.9,102.7,184,30.3344
108,female,Isla,Yip,085 464 8397,12-04-1965,Sagittarius,01-04-2016,A+,170.3,77.4,156,31.8047
109,male,Nico,Hunter,085 753 7205,03-10-1977,Pisces,01-01-2016,A+,254.5,115.7,169,40.5098
110,female,Fre-Swera,Tesfalem,082 250 2735,06-04-1985,Gemini,01-06-2020,O+,213.4,97,166,35.201
111,male,Gang,Fan,085 333 2273,11-20-1984,Scorpio,01-09-2016,O+,191.4,87,173,29.0688
112,female,Mitsuyo,Kawano,085 824 6001,10-10-1952,Libra,01-11-2016,A+,198.7,90.3,152,39.0841
113,male,Brock,Sturt,083 303 1169,10-31-1984,Scorpio,01-08-2020,O-,228.4,103.8,189,29.0585
114,male,Gore,Aliyev,083 513 9033,2-14-1951,Aquarius,01-07-2017,AB-,149.2,67.8,181,20.6953
115,female,Ogechukwukamma,Chiedozie,083 699 3974,7-19-1988,Cancer,01-11-2020,A+,110,50,173,16.7062
116,male,Arthur,Hann,082 983 8831,05-02-1978,Taurus,01-11-2017,A+,231.2,105.1,175,34.3184
117,female,Adaoha,Chiganu,085 929 0261,12-30-1964,Capricorn,01-04-2019,O+,170.1,77.3,165,28.393
118,male,Goytiom,Hamid,082 852 4161,7-30-1978,Leo,01-09-2017,B+,236.7,107.6,172,36.371
119,male,Kunihide,Miyata,082 107 2630,4-16-1987,Aries,01-06-2018,AB+,190.3,86.5,169,30.2861
120,male,Adalfredo,Fallaci,084 343 6990,7-17-1959,Cancer,01-07-2016,O+,241.1,109.6,177,34.9836
121,female,Sandra,Samsonova,082 177 2455,2-14-1978,Aquarius,01-06-2019,O+,184.6,83.9,171,28.6926
122,female,Arina,Seleznyova,084 101 8317,08-11-1965,Leo,01-01-2018,O+,116.8,53.1,155,22.102
123,female,Rahel,Fikru,084 866 1727,08-09-1977,Leo,01-03-2019,A+,139,63.2,164,23.4979
124,female,Kisanet,Aman,084 341 1291,10-12-1990,Libra,01-11-2019,O+,110.7,50.3,165,18.4757
125,female,Laura,Poole,084 607 8670,4-15-1969,Aries,01-03-2017,O+,230.8,104.9,154,44.2317
126,female,Dana,Bruce,085 692 5025,10-05-1986,Libra,01-03-2020,B+,198.7,90.3,159,35.7185
127,female,Saho,Kaneko,083 748 1105,05-01-1961,Taurus,01-08-2020,O+,147,66.8,156,27.449
128,female,Midori,Tezuka,085 965 5768,10-23-1987,Scorpio,01-02-2018,A+,161,73.2,170,25.3287
129,female,Diane,Borrego,085 186 7132,11-11-1957,Scorpio,01-05-2020,O+,216.3,98.3,153,41.9924
130,male,Shane,Watt,084 415 0599,07-06-1965,Cancer,01-08-2020,O+,230.6,104.8,168,37.1315
131,male,Yoshitsugu,Daikawa,085 460 0334,10-10-1952,Libra,01-08-2018,B+,212.3,96.5,166,35.0196
132,male,Brock,Tuck,082 936 0070,1-17-1973,Capricorn,01-03-2016,A+,155.1,70.5,170,24.3945
133,male,Rinat,Vasilyev,085 839 7510,7-21-1989,Cancer,01-06-2016,O+,167.4,76.1,172,25.7234
134,male,Aran,Campbell,082 782 8137,08-08-1977,Leo,01-12-2019,O+,145.6,66.2,167,23.737
135,male,Amanuel,Neftalem,084 752 5828,10-31-1976,Scorpio,01-08-2019,A+,138.8,63.1,168,22.3569
136,female,Chie,Murai,083 149 7258,09-09-1957,Virgo,01-04-2016,A+,197.8,89.9,165,33.0211
137,female,Tayla,Maum,083 593 2320,2-20-1977,Pisces,01-09-2020,B+,178.4,81.1,161,31.2874
138,female,Bronislaw,Kornilova,082 287 0161,2-16-1979,Aquarius,01-05-2016,O+,220.4,100.2,171,34.267
139,male,Obidimkpa,Uchenna,083 967 8156,8-23-1949,Virgo,01-07-2019,B+,150.9,68.6,184,20.2623
140,female,Quartilla ,Mazzi,085 187 0028,10-09-1952,Libra,01-09-2019,O+,164.6,74.8,159,29.5874
141,female,Cristiana,Trevisan,084 671 9109,7-15-1966,Cancer,01-06-2019,A+,206.4,93.8,156,38.5437
142,male,Ismail,Tokaryev,084 327 2924,6-16-1990,Gemini,01-12-2017,B+,196.7,89.4,167,32.0556
143,female,Laura,Golubova,085 720 5458,4-15-1988,Aries,01-01-2019,A-,170.9,77.7,164,28.8891
144,male,Ajay,Campbell,084 495 4237,7-26-1993,Leo,01-02-2020,B+,129.6,58.9,181,17.9787
145,male,Daichi,Arai,084 637 7556,08-11-1963,Leo,01-07-2020,O+,178.9,81.3,179,25.3737
146,female,Emma,Schofield,084 434 9823,1-31-1958,Aquarius,01-07-2018,A+,191.8,87.2,155,36.2955
147,female,Segan,Sheshy,083 605 4234,09-11-1966,Virgo,01-08-2018,B+,130,59.1,157,23.9766
148,male,Daniel,Muntz,085 970 5024,09-09-1964,Virgo,01-12-2020,O+,190.1,86.4,171,29.5476
149,male,Luca,Woodward,083 357 9716,10-11-1960,Libra,01-06-2016,B+,185.2,84.2,171,28.7952
150,male,Saita,Matsui,084 939 4777,1-13-1981,Capricorn,01-08-2019,A+,246.8,112.2,182,33.8727
151,male,Dennis,Matveyev,083 340 1326,10-17-1987,Libra,01-05-2016,O+,230.1,104.6,168,37.0607
152,male,Phillip,Brown,082 514 5198,01-05-1987,Capricorn,01-03-2020,A+,197.1,89.6,187,25.6227
153,male,James,Shane,082 193 4413,03-01-1982,Pisces,01-08-2016,A+,160.6,73,172,24.6755
154,female,Marisa,Toscano,085 425 1549,9-26-1968,Libra,01-08-2017,O+,222.6,101.2,154,42.6716
155,female,Natsnet,Demsas,083 681 6526,4-19-1990,Aries,01-06-2018,O+,165,75,161,28.9341
156,female,Ubalda ,Monaldo,082 413 6467,04-06-1963,Aries,01-02-2019,O+,167.6,76.2,169,26.6797
157,female,Kecia,Rieder,082 743 2626,08-11-1968,Leo,01-10-2018,A+,110.4,50.2,163,18.8942
158,male,Valentine,Kazantsev,083 272 7268,07-01-1992,Cancer,01-08-2016,O+,200.9,91.3,179,28.4947
159,female,Ayla,King,085 631 3660,12-05-1962,Sagittarius,01-10-2018,O+,152.7,69.4,159,27.4514
160,male,Chieloka,Onyekaozulu,085 588 4574,6-25-1959,Cancer,01-08-2016,A+,229.7,104.4,179,32.5833
161,female,Fang,Ch'ang,082 488 6304,06-12-1981,Gemini,01-06-2016,AB+,195.1,88.7,173,29.6368
162,female,Chloe,Lloyd,085 191 3277,11-20-1960,Scorpio,01-02-2020,AB+,126.7,57.6,160,22.5
163,female,Uchenna,Chukwuebuka,084 356 4935,11-02-1974,Scorpio,01-12-2020,A+,156,70.9,166,25.7294
164,female,Sienna,Matson,082 518 7625,3-31-1982,Aries,01-05-2017,B+,175.8,79.9,160,31.2109
165,male,Callisto,Padovano,082 131 6822,07-02-1983,Cancer,01-07-2019,O-,183.3,83.3,182,25.1479
166,female,Ava,Sinclair,082 614 2758,11-04-1983,Scorpio,01-11-2020,B+,166.8,75.8,156,31.1473
167,female,Wanda ,Gallo,085 750 5029,12-06-1974,Sagittarius,01-11-2016,AB+,200.6,91.2,170,31.5571
168,male,Consuelo,Calabresi,085 317 5692,11-21-1962,Scorpio,01-07-2016,AB-,219.8,99.9,176,32.2508
169,female,Madison,Tracy,083 426 0318,12-04-1993,Sagittarius,01-09-2019,O+,102.1,46.4,154,19.5649
170,male,Nereo,Pagnotto,082 214 1687,04-10-1987,Aries,01-07-2018,O+,241.8,109.9,184,32.461
171,female,Molly,Dunn,083 793 9035,09-02-1990,Virgo,01-08-2020,A+,217.8,99,160,38.6719
172,male,William,Grace,084 139 0006,12-02-1978,Sagittarius,01-04-2016,O+,218.9,99.5,181,30.3715
173,female,Jing,Wang,083 661 9184,05-01-1987,Taurus,01-04-2018,A+,129.6,58.9,155,24.5161
174,female,Natsnet,Filmon,083 322 0977,11-21-1966,Scorpio,01-09-2019,A+,142.3,64.7,172,21.8699
175,male,Craig,Taylor,085 146 9397,11-27-1991,Sagittarius,01-06-2018,B+,220.2,100.1,169,35.0478
176,male,Luca,Kroemer,082 683 3769,11-12-1950,Scorpio,01-04-2017,B+,168.5,76.6,179,23.9069
177,male,Frankie,Stevenson,083 139 1286,05-06-1987,Taurus,01-12-2019,O+,235.2,106.9,181,32.6303
178,male,Arkhip,Yevdokimov,084 228 0761,5-29-1952,Gemini,01-11-2018,B+,169.8,77.2,179,24.0941
179,male,Gabriel,Goytiom,084 142 0093,9-29-1970,Libra,01-11-2017,A+,213.8,97.2,174,32.1046
180,male,Declan,Yates,082 351 7236,08-04-1961,Leo,01-03-2016,O+,150.7,68.5,179,21.3789
181,female,Albina,Fedorova,083 736 7812,09-09-1959,Virgo,01-05-2020,O+,189,85.9,167,30.8007
182,male,Robert,Shavers,084 680 3135,7-29-1987,Leo,01-03-2017,A+,215.6,98,174,32.3689
183,female,Wakako,Mizutani,085 870 6312,02-02-1993,Aquarius,01-02-2019,O+,153.8,69.9,159,27.6492
184,male,Massawa,Brhane,083 607 4334,08-01-1967,Leo,01-06-2019,A-,226.4,102.9,167,36.8963
185,male,Rayan,Robertson,083 814 2989,2-26-1988,Pisces,01-10-2020,O+,225.3,102.4,172,34.6133
186,male,Otutodilichukwu,Ikechukwu,082 905 7064,12-31-1956,Capricorn,01-11-2020,B+,233.9,106.3,167,38.1154
187,female,Olivia,Ecuyer,085 267 9343,8-28-1962,Virgo,01-02-2018,O+,213.4,97,155,40.3746
188,male,Habte,Muhammed,082 416 9315,6-13-1974,Gemini,01-09-2019,O+,175.1,79.6,186,23.0084
189,female,Abby,Hooper,083 919 5334,12-14-1977,Sagittarius,01-12-2018,A+,184.4,83.8,166,30.4108
190,male,Brian,Blanchard,085 310 9879,11-04-1992,Scorpio,01-06-2020,O+,233.6,106.2,188,30.0475
191,male,Proserpio,Cocci,084 933 0362,09-09-1952,Virgo,01-06-2017,O+,142.1,64.6,168,22.8883
192,female,Imogen,Black,082 670 1001,7-16-1950,Cancer,01-04-2017,AB+,191.6,87.1,162,33.1885
193,male,Demsas,Petros,085 435 8981,6-14-1952,Gemini,01-04-2020,AB+,163.2,74.2,166,26.927
194,male,Chukwubuikem,Chiemela,084 437 1884,4-21-1978,Taurus,01-01-2019,A+,139.9,63.6,181,19.4133
195,male,Fedro,Ricci,083 890 2576,10-14-1959,Libra,01-05-2017,O+,218.7,99.4,172,33.5992
196,male,Kaden,Wood,083 521 2913,3-17-1953,Pisces,01-10-2016,A+,245.3,111.5,183,33.2945
197,male,Jacob,Axon,082 425 1559,12-07-1966,Sagittarius,01-06-2020,B+,204.8,93.1,184,27.4988
198,male,Selassie,Abraham,083 475 5975,4-13-1962,Aries,01-09-2020,B+,255,115.9,174,38.2811
199,female,Roma,Hagos,082 246 6594,1-31-1982,Aquarius,01-08-2019,B+,206.8,94,175,30.6939
200,female,Rapuluchukwu,Chidiegwu,083 680 4577,6-19-1991,Gemini,01-08-2020,B+,215.6,98,162,37.3419
201,male,Hsin,T'ang,083 550 0974,12-04-1987,Sagittarius,01-05-2018,A+,220.9,100.4,186,29.0207
202,male,Muslim,Azarov,084 929 9247,06-12-1976,Gemini,01-10-2016,O+,143.2,65.1,178,20.5466
203,female,Shio,Okada,084 268 7111,11-17-1982,Scorpio,01-10-2017,A+,179.5,81.6,175,26.6449
204,male,Chang,Adger,082 689 2247,10-16-1955,Libra,01-02-2020,O+,142.3,64.7,170,22.3875
205,female,Zoe,Palmer,084 435 8977,02-01-1984,Aquarius,01-11-2017,B+,126.5,57.5,158,23.0332
206,male,Valente,De Luca,082 442 4307,10-14-1957,Libra,01-03-2020,O+,187,85,175,27.7551
207,male,Xiong,Mao,083 407 6047,8-20-1979,Leo,01-01-2020,AB+,153.3,69.7,179,21.7534
208,male,You,Yao,084 716 7435,09-10-1978,Virgo,01-02-2020,A-,163.2,74.2,181,22.6489
209,male,Ikemefuna,Nwora,085 188 2229,03-09-1964,Pisces,01-10-2016,O+,176,80,170,27.6817
210,male,Oliver,Train,085 550 8832,08-09-1982,Leo,01-08-2020,O+,243.3,110.6,173,36.9541
211,male,Naruaki,Kodama,082 338 8604,3-16-1951,Pisces,01-12-2016,A+,196.5,89.3,174,29.4953
212,female,Hua,Ch'ien,084 346 4234,2-14-1985,Aquarius,01-06-2018,O+,132.7,60.3,172,20.3826
213,male,James,Moir,085 286 6780,09-06-1983,Virgo,01-12-2017,B+,223.5,101.6,170,35.1557
214,female,Sylvia,Bloom,084 712 7635,4-24-1967,Taurus,01-11-2018,B+,220.9,100.4,173,33.5461
215,male,Benjamin,Troy,083 122 0676,8-24-1949,Virgo,01-10-2017,O+,179.1,81.4,174,26.886
216,male,Samuel,Whitford,084 519 8107,3-28-1966,Aries,01-08-2018,AB+,202,91.8,170,31.7647
217,female,Mia,Lindeman,083 580 1088,02-05-1967,Aquarius,01-05-2017,O+,132,60,162,22.8624
218,male,Jamie,Kennedy,082 383 7663,02-12-1970,Aquarius,01-10-2019,A+,202,91.8,168,32.5255
219,male,Frediano,Bellucci,083 817 0481,4-30-1983,Taurus,01-04-2018,O+,191.6,87.1,186,25.1763
220,male,Jie,Ch'in,084 594 7818,1-13-1975,Capricorn,01-12-2016,B+,172.3,78.3,183,23.3808
221,female,Zufan,Amanuel,085 745 5792,11-13-1977,Scorpio,01-03-2020,O-,222.9,101.3,162,38.5993
222,male,John,Warner,085 209 7334,8-22-1985,Leo,01-12-2017,O+,212.3,96.5,168,34.1908
223,female,Eden,Pethebridge,082 241 5533,12-25-1977,Capricorn,01-04-2017,B+,140.1,63.7,166,23.1166
224,male,Ashton,Burwell,083 331 4167,8-13-1985,Leo,01-09-2017,A+,228.1,103.7,173,34.6487
225,male,Nicodemus,Blokhin,085 236 3821,02-06-1968,Aquarius,01-05-2019,A+,254.8,115.8,170,40.0692
226,female,Obielumani,Chukwudi,082 480 4483,11-19-1953,Scorpio,01-02-2017,B+,171.4,77.9,167,27.9322
227,male,Demsas,Selam,082 561 0093,8-22-1967,Leo,01-11-2017,A+,211.2,96,170,33.218
228,female,Rinoka,Tashiro,084 200 9953,11-28-1976,Sagittarius,01-05-2019,B-,124.3,56.5,172,19.0982
229,female,Shu Fang,Chin,083 888 7523,10-27-1958,Scorpio,01-10-2016,B+,138.2,62.8,155,26.1394
230,female,Jade,Fowler,082 189 8411,10-23-1978,Scorpio,01-11-2018,O+,192.1,87.3,162,33.2647
231,female,Yorda,Nuguse,082 513 8533,7-31-1988,Leo,01-04-2019,A+,108.9,49.5,170,17.128
232,male,Nicodemus,Efremov,085 375 0737,09-06-1968,Virgo,01-03-2016,A-,254.5,115.7,171,39.5677
233,female,Amelia,Forrest,083 669 1002,10-03-1973,Libra,01-12-2017,B+,157.7,71.7,174,23.6821
234,male,Jak,Moore,082 262 5307,02-03-1970,Aquarius,01-03-2020,A+,240.9,109.5,174,36.1673
235,male,Shaiming,Ts'ai,083 545 0642,1-20-1958,Aquarius,01-02-2020,B+,176.7,80.3,174,26.5227
236,male,Rocky,Hildebrand,084 470 4095,02-10-1954,Aquarius,01-10-2017,A+,156.4,71.1,172,24.0333
237,female,Hayden,Robertson,083 727 3709,02-06-1981,Aquarius,01-05-2016,A+,225.5,102.5,157,41.5838
238,male,Geraldo,Nucci,084 581 3784,4-15-1989,Aries,01-04-2016,B+,232.8,105.8,178,33.3922
239,male,Roman,Tikhonov,083 644 5037,7-13-1986,Cancer,01-12-2018,O+,189.4,86.1,173,28.7681
240,female,Lemlem,Nebay,084 257 4542,7-21-1958,Cancer,01-01-2018,A+,209.7,95.3,159,37.6963
241,male,Steven,Marshall,084 332 8885,8-25-1961,Virgo,01-05-2018,O+,187.9,85.4,172,28.867
242,female,Amelie,Pither,083 456 8863,12-14-1977,Sagittarius,01-05-2017,AB+,147.4,67,163,25.2174
